Date,Open,High,Low,Close,Adj Close,Volume
2021-09-03,388.269989,390.769989,385.119995,388.329987,388.329987,712300
2021-09-07,394.880005,394.950012,383.010010,386.459991,386.459991,1080300
2021-09-08,384.950012,386.279999,376.369995,380.850006,380.850006,2878300
2021-09-09,433.730011,434.220001,420.269989,420.709991,420.709991,7789600
2021-09-10,424.000000,430.049988,417.089996,425.579987,425.579987,2148600
2021-09-13,428.309998,428.309998,418.989990,425.119995,425.119995,1244600
2021-09-14,426.739990,427.690002,419.390015,420.500000,420.500000,853700
2021-09-15,420.940002,421.019989,414.089996,418.950012,418.950012,818700
2021-09-16,417.209991,429.799988,417.209991,426.440002,426.440002,978600
2021-09-17,428.399994,432.739990,424.299988,426.549988,426.549988,1546500
2021-09-20,418.100006,425.299988,412.489990,419.529999,419.529999,971500
2021-09-21,422.390015,426.700012,419.549988,424.190002,424.190002,610900
2021-09-22,425.119995,431.279999,422.010010,431.179993,431.179993,948500
2021-09-23,433.000000,437.320007,430.000000,431.910004,431.910004,1490100
2021-09-24,427.440002,433.609985,424.070007,432.609985,432.609985,873300
2021-09-27,430.480011,434.929993,427.809998,430.720001,430.720001,698100
2021-09-28,427.890015,429.450012,413.700012,414.540009,414.540009,1149400
2021-09-29,418.070007,419.000000,408.500000,410.220001,410.220001,898900
2021-09-30,410.279999,411.299988,403.320007,404.700012,404.700012,798400
2021-10-01,407.519989,408.190002,399.380005,401.369995,401.369995,787700
2021-10-04,401.309998,401.459991,390.420013,392.570007,392.570007,956600
2021-10-05,399.070007,404.809998,396.679993,397.119995,397.119995,818300
2021-10-06,392.660004,400.679993,392.519989,398.130005,398.130005,810700
2021-10-07,401.010010,408.609985,398.399994,399.720001,399.720001,708700
2021-10-08,401.410004,401.760010,393.720001,397.220001,397.220001,560500
2021-10-11,399.399994,399.399994,385.609985,386.040009,386.040009,790400
2021-10-12,388.440002,389.739990,383.239990,384.570007,384.570007,828100
2021-10-13,390.369995,402.070007,388.329987,400.709991,400.709991,1450500
2021-10-14,404.480011,410.679993,402.079987,406.989990,406.989990,708700
2021-10-15,408.089996,409.410004,403.000000,403.510010,403.510010,815500
2021-10-18,401.250000,417.619995,400.299988,417.380005,417.380005,647700
2021-10-19,417.640015,420.579987,414.320007,416.640015,416.640015,493600
2021-10-20,419.660004,423.899994,413.660004,414.399994,414.399994,524600
2021-10-21,416.269989,424.850006,416.140015,424.040009,424.040009,566800
2021-10-22,422.489990,424.570007,418.899994,421.730011,421.730011,444600
2021-10-25,423.739990,430.000000,423.029999,427.940002,427.940002,636700
2021-10-26,431.000000,435.000000,427.109985,432.730011,432.730011,629900
2021-10-27,432.950012,438.359985,428.000000,433.700012,433.700012,533700
2021-10-28,435.309998,443.600006,435.309998,443.459991,443.459991,687400
2021-10-29,446.619995,467.040009,446.079987,466.010010,466.010010,1346200
2021-11-01,468.000000,469.440002,456.100006,458.880005,458.880005,788700
2021-11-02,461.500000,470.109985,460.769989,464.640015,464.640015,676700
2021-11-03,466.130005,469.100006,462.160004,467.480011,467.480011,561800
2021-11-04,469.929993,478.660004,469.019989,473.940002,473.940002,676700
2021-11-05,474.279999,477.380005,465.779999,467.910004,467.910004,817600
2021-11-08,471.820007,471.820007,456.760010,466.140015,466.140015,736300
2021-11-09,466.839996,471.839996,465.299988,470.239990,470.239990,613600
2021-11-10,464.549988,467.559998,453.850006,457.359985,457.359985,647500
2021-11-11,461.500000,462.910004,452.510010,453.000000,453.000000,507000
2021-11-12,457.440002,457.440002,450.609985,452.589996,452.589996,721600
2021-11-15,455.750000,464.670013,454.660004,461.959991,461.959991,737600
2021-11-16,464.510010,485.829987,463.730011,477.910004,477.910004,1390100
2021-11-17,476.779999,477.799988,465.339996,465.839996,465.839996,866700
2021-11-18,469.000000,474.059998,462.049988,473.239990,473.239990,750300
2021-11-19,474.350006,478.279999,469.089996,473.000000,473.000000,872300
2021-11-22,473.429993,473.429993,458.269989,460.929993,460.929993,795800
2021-11-23,460.709991,465.390015,454.779999,458.760010,458.760010,600200
2021-11-24,452.510010,458.390015,446.579987,457.859985,457.859985,633500
2021-11-26,460.179993,462.109985,453.640015,456.579987,456.579987,418700
2021-11-29,458.500000,466.720001,455.500000,463.260010,463.260010,758900
2021-11-30,463.190002,468.769989,452.200012,454.410004,454.410004,1266300
2021-12-01,459.549988,467.980011,447.959991,448.429993,448.429993,892200
2021-12-02,447.500000,454.000000,441.399994,450.679993,450.679993,833000
